Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Season
Rolando Aarons ,Midfielder,10,,,13.0,77.0,,0.0,6.0,10.0,5.0,,23.0,29.0,34.0,5.0,4.0,6.0,,1.0,1,119,11.9,1.0,12.0,25.0,0.0,7.0,1,0,9,0.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Almen Abdi ,Midfielder,32,,,83.0,78.0,,10.0,32.0,24.0,9.0,,137.0,140.0,153.0,12.0,22.0,31.0,,0.0,0,938,29.31,4.0,55.0,31.0,2.0,36.0,4,0,38,1.0,2,0.0,2.0,0.0,1.0,0.06,0.0,1.0,39.0,10.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Abdul Rahman Baba ,Defender,15,2.0,13.0,47.0,83.0,0.0,1.0,23.0,32.0,13.0,1.0,76.0,67.0,65.0,8.0,8.0,13.0,0.0,1.0,1,526,35.07,0.0,31.0,16.0,0.0,18.0,1,0,14,2.0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Mehdi Abeid ,Midfielder,0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Tammy Abraham ,Forward,2,,,0.0,,,1.0,0.0,0.0,0.0,,,,,,,,,,0,10,5.0,0.0,2.0,,,,0,0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Charlie Adam ,Midfielder,22,,,18.0,78.0,,9.0,12.0,14.0,10.0,,73.0,68.0,76.0,10.0,17.0,10.0,,0.0,1,546,24.82,1.0,40.0,30.0,1.0,68.0,6,1,30,0.0,1,0.0,1.0,0.0,0.0,0.05,0.0,0.0,29.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Emmanuel Adebayor ,Forward,12,,,2.0,,,2.0,1.0,7.0,4.0,,,,,,,,,,1,230,19.17,0.0,6.0,,,,1,0,10,11.0,1,1.0,0.0,0.0,1.0,0.08,0.0,0.0,12.0,4.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Adrián ,Goalkeeper,32,9.0,39.0,,,,,,,,,,,,,,,0.0,2.0,0,853,26.66,0.0,,,,275.0,1,1,1,,0,,,,0.0,,,,,,,,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0,2015-16
Ibrahim Afellay ,Midfielder,31,,,27.0,81.0,,10.0,11.0,12.0,5.0,,162.0,117.0,110.0,41.0,14.0,16.0,,0.0,2,1274,41.1,3.0,68.0,16.0,3.0,68.0,3,1,19,2.0,2,1.0,1.0,0.0,0.0,0.06,0.0,0.0,39.0,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Benik Afobe ,Forward,15,,,5.0,,,2.0,2.0,9.0,6.0,,,,,,,,,,0,224,14.93,0.0,4.0,,,,0,0,15,9.0,4,3.0,1.0,0.0,0.0,0.27,0.0,0.0,14.0,5.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Gabriel Agbonlahor ,Forward,15,,,6.0,,,2.0,2.0,9.0,1.0,,,,,,,,,,2,223,14.87,2.0,12.0,,,,0,0,21,3.0,1,0.0,0.0,1.0,0.0,0.07,0.0,0.0,10.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
Sergio Agüero ,Forward,30,,,15.0,,,26.0,6.0,0.0,0.0,,,,,,,,,,2,727,24.23,5.0,20.0,,,,1,0,20,27.0,24,5.0,16.0,3.0,4.0,0.8,4.0,0.0,119.0,52.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16
