Appearances,Blocked shots,Assists,Passes per match,Big chances created,Crosses,Offsides,Hit woodwork,Shots,Shots on target,Shooting accuracy %,Big chances missed,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Assists per Appearance,HighScorer
10,0.0,1,11.9,1.0,12.0,0.0,0.0,2.0,1.0,50.0,0.0,0,0,0,1,0.1,False
32,10.0,0,29.31,4.0,55.0,1.0,1.0,39.0,10.0,26.0,1.0,0,0,0,1,0.0,False
15,1.0,1,35.07,0.0,31.0,2.0,0.0,,,,,1,0,0,0,0.06666666666666667,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
2,1.0,0,5.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0,1,0,0,0.0,False
22,9.0,1,24.82,1.0,40.0,0.0,0.0,29.0,4.0,14.0,0.0,0,0,0,1,0.045454545454545456,False
12,2.0,1,19.17,0.0,6.0,11.0,1.0,12.0,4.0,33.0,2.0,0,1,0,0,0.08333333333333333,False
32,,0,26.66,0.0,,,0.0,,,,,0,0,1,0,0.0,False
31,10.0,2,41.1,3.0,68.0,2.0,0.0,39.0,8.0,21.0,1.0,0,0,0,1,0.06451612903225806,False
15,2.0,0,14.93,0.0,4.0,9.0,0.0,14.0,5.0,36.0,4.0,0,1,0,0,0.0,False
15,2.0,2,14.87,2.0,12.0,3.0,0.0,10.0,6.0,60.0,1.0,0,1,0,0,0.13333333333333333,False
30,26.0,2,24.23,5.0,20.0,27.0,4.0,119.0,52.0,44.0,16.0,0,1,0,0,0.06666666666666667,True
24,3.0,0,25.38,1.0,42.0,0.0,1.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
32,13.0,4,41.34,3.0,138.0,6.0,1.0,,,,,1,0,0,0,0.125,False
38,14.0,6,24.0,11.0,272.0,3.0,1.0,42.0,11.0,26.0,2.0,0,0,0,1,0.15789473684210525,False
38,8.0,2,54.63,1.0,16.0,1.0,0.0,,,,,1,0,0,0,0.05263157894736842,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
2,0.0,0,13.5,0.0,0.0,2.0,0.0,4.0,2.0,50.0,2.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
19,3.0,1,21.58,1.0,5.0,0.0,0.0,12.0,4.0,33.0,1.0,0,0,0,1,0.05263157894736842,False
33,27.0,9,32.82,11.0,19.0,6.0,3.0,74.0,28.0,38.0,6.0,0,0,0,1,0.2727272727272727,True
1,,0,8.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
5,0.0,0,13.2,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
10,3.0,2,36.8,1.0,40.0,0.0,0.0,,,,,1,0,0,0,0.2,False
0,,0,0.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
4,0.0,0,12.25,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
10,6.0,0,10.8,1.0,2.0,4.0,2.0,13.0,4.0,31.0,1.0,0,1,0,0,0.0,False
28,2.0,3,35.36,0.0,28.0,0.0,0.0,8.0,2.0,25.0,0.0,0,0,0,1,0.10714285714285714,False
26,11.0,3,20.12,4.0,68.0,11.0,2.0,54.0,20.0,37.0,6.0,0,1,0,0,0.11538461538461539,False
28,5.0,1,23.57,2.0,71.0,1.0,0.0,10.0,1.0,10.0,1.0,0,0,0,1,0.03571428571428571,False
1,,0,5.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
34,12.0,6,31.79,11.0,56.0,32.0,4.0,70.0,22.0,31.0,10.0,0,1,0,0,0.17647058823529413,True
21,11.0,0,49.24,1.0,7.0,0.0,0.0,36.0,7.0,19.0,0.0,0,0,0,1,0.0,False
9,0.0,0,14.67,1.0,0.0,0.0,1.0,1.0,1.0,100.0,1.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
7,3.0,0,7.14,0.0,3.0,2.0,0.0,8.0,2.0,25.0,1.0,0,1,0,0,0.0,False
30,21.0,0,26.67,4.0,43.0,10.0,2.0,59.0,21.0,36.0,1.0,0,1,0,0,0.0,False
37,2.0,3,48.59,3.0,57.0,1.0,0.0,,,,,1,0,0,0,0.08108108108108109,False
0,,0,0.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
31,7.0,0,36.55,2.0,92.0,2.0,1.0,32.0,9.0,28.0,1.0,0,0,0,1,0.0,False
